Year,A/7 and above (Female),C/4 and above (Female),A/7 and above (Men),C/4 and above (Men)
2008,19.5,69.4,11.7,56.1
2009,19.6,69.2,11.9,56.2
2010,20.5,71.8,11.9,58
2011,21.6,72.6,12.6,58.9
2012,19.5,71.5,10.6,56.9
2013,19,71.3,9.5,56.3
2014,19.1,69.4,9.6,53.6
2015,19.2,72.8,9.5,57.6
2016,18.2,67.6,8.8,51.5
2017,18.5,70.9,9,53.5
2018,18.5,70.1,9.8,54.6
2019,18.6,70.3,9.6,54
2020,24.7,78.4,13.1,64.5
2021,28.6,79.9,15.9,67.9
2022,25.6,76.6,15.1,63.5
